pm10,pm25,so2,co,o3,no2,categori
40,54,24,10,23,26,2
52,69,23,17,19,36,2
57,79,24,12,23,27,2
52,76,24,15,22,34,2
56,79,22,16,28,36,2
60,91,24,21,27,37,2
74,108,22,20,23,38,1
44,60,23,15,23,35,2
56,77,27,11,21,24,2
51,64,27,8,16,20,2
54,70,29,12,16,24,2
56,76,23,14,17,32,2
47,61,24,16,18,29,2
55,73,21,15,19,33,2
62,74,51,10,57,14,2
59,74,50,9,51,11,2
68,82,54,12,39,17,2
64,83,53,14,45,20,2
57,72,53,13,66,21,2
67,83,61,20,46,33,2
60,79,53,11,54,17,2
46,59,46,9,61,7,2
55,73,51,10,58,8,2
69,87,50,11,57,12,2
67,87,52,10,63,8,2
81,112,49,13,48,9,1
54,70,55,11,51,13,2
41,55,48,8,49,10,2
56,77,52,13,55,21,2
66,87,53,12,56,17,2
60,81,58,13,65,21,2
64,90,62,15,66,28,2
73,97,64,18,57,34,2
86,116,74,19,72,30,1
56,64,52,12,66,19,2
62,83,52,12,64,20,2
60,73,52,10,62,13,2
66,81,53,11,63,16,2
60,76,46,13,66,21,2
53,65,55,17,51,28,2
62,81,49,14,71,20,2
55,83,12,9,25,16,2
61,102,23,13,35,20,1
39,66,20,9,60,15,2
39,69,19,15,151,20,1
50,76,20,8,71,15,2
35,58,17,6,47,13,2
46,76,22,8,66,13,2
49,74,47,8,26,14,2
53,73,45,10,25,15,2
60,85,49,12,31,19,2
51,60,45,7,27,13,2
58,82,47,8,29,16,2
51,68,51,5,23,11,2
58,23,45,8,19,16,2
74,113,41,15,17,13,1
73,117,38,20,21,21,1
54,77,37,7,27,16,2
51,78,38,22,25,20,2
56,87,39,9,29,15,2
46,66,37,6,31,11,2
42,73,37,7,31,12,2
65,102,38,8,31,11,1
67,105,37,9,27,11,1
75,112,36,13,24,13,1
51,76,38,3,27,8,2
49,74,37,4,28,17,2
61,99,39,10,25,23,2
60,103,36,9,29,19,1
55,95,37,9,27,20,2
